epsilon,pm_theo,pm_empirical,exp_theo,exp_empirical,laplace_theo,laplace_empirical,gaussian_theo,gaussian_empirical
1,0.859454,0.849,0.829731,0.834,0.122251,0.198,0.014707,0.055
2,0.914714,0.902,0.881719,0.885,0.323666,0.378,0.051626,0.109
3,0.948257,0.945,0.919367,0.926,0.501823,0.522,0.102227,0.174
4,0.968611,0.960,0.945358,0.954,0.637695,0.653,0.160337,0.229
5,0.980959,0.981,0.962728,0.969,0.735989,0.738,0.221557,0.272
6,0.988451,0.991,0.974128,0.980,0.805899,0.822,0.282841,0.343
7,0.992995,0.994,0.981573,0.989,0.855612,0.856,0.342167,0.381
8,0.995751,0.996,0.986472,0.992,0.891261,0.893,0.398270,0.442
