x_pv_1,x_pv_2,epsilon,pm_theo,pm_empirical,sw_theo,sw_empirical,krr_theo,krr_empirical,exp_theo,exp_empirical,laplace_theo,laplace_empirical,gaussian_theo,gaussian_empirical
0.50,0.05,1,0.330801,0.768,0.341470,0.782,0.185200,0.683,0.252419,0.709,0.032524,0.156,0.003294,0.049
0.50,0.05,2,0.593913,0.889,0.585435,0.885,0.211844,0.711,0.338239,0.747,0.100686,0.277,0.011719,0.100
0.50,0.05,3,0.775340,0.944,0.687887,0.926,0.276940,0.771,0.425039,0.781,0.178963,0.368,0.023657,0.146
0.50,0.05,4,0.861014,0.973,0.754151,0.950,0.411768,0.862,0.506904,0.807,0.256046,0.428,0.037984,0.185
0.50,0.05,5,0.914699,0.985,0.798871,0.980,0.612365,0.948,0.580426,0.837,0.327371,0.482,0.053891,0.218
0.50,0.05,6,0.947893,0.992,0.830439,0.991,0.799928,0.986,0.644345,0.869,0.391500,0.521,0.070785,0.257
0.50,0.05,7,0.968260,0.998,0.853664,0.994,0.913754,0.997,0.698753,0.881,0.448391,0.567,0.088229,0.281
0.50,0.05,8,0.980699,1.000,0.871373,0.996,0.966146,1.000,0.744431,0.899,0.498570,0.594,0.105902,0.309
0.29,0.60,1,0.997575,1.000,0.997473,1.000,0.980435,1.000,0.983188,1.000,0.148457,0.240,0.018994,0.074
0.29,0.60,2,0.998529,1.000,0.998271,1.000,0.981289,1.000,0.985871,1.000,0.374624,0.440,0.066074,0.147
0.29,0.60,3,0.999108,1.000,0.998733,1.000,0.983276,1.000,0.988192,1.000,0.561056,0.596,0.129213,0.220
0.29,0.60,4,0.999459,1.000,0.999019,1.000,0.987021,1.000,0.990185,1.000,0.695524,0.716,0.199747,0.285
0.29,0.60,5,0.999672,1.000,0.999206,1.000,0.991933,1.000,0.991883,1.000,0.788573,0.799,0.271794,0.350
0.29,0.60,6,0.999801,1.000,0.999335,1.000,0.996023,1.000,0.993316,1.000,0.852306,0.853,0.341626,0.409
0.29,0.60,7,0.999879,1.000,0.999429,1.000,0.998328,1.000,0.994520,1.000,0.896057,0.900,0.407090,0.468
0.29,0.60,8,0.999927,1.000,0.999500,1.000,0.999351,1.000,0.995524,1.000,0.926301,0.930,0.467122,0.520
0.44,0.37,1,0.654065,0.731,0.660557,0.719,0.561854,0.632,0.593672,0.668,0.090661,0.161,0.010626,0.045
0.44,0.37,2,0.792664,0.810,0.807346,0.804,0.580912,0.637,0.631998,0.701,0.246353,0.308,0.037356,0.094
0.44,0.37,3,0.900528,0.886,0.858824,0.835,0.625223,0.665,0.668723,0.732,0.391540,0.457,0.074137,0.136
0.44,0.37,4,0.939657,0.907,0.890596,0.816,0.708893,0.741,0.703324,0.766,0.509227,0.570,0.116612,0.186
0.44,0.37,5,0.963396,0.867,0.911436,0.858,0.818837,0.835,0.735438,0.796,0.600432,0.663,0.161682,0.228
0.44,0.37,6,0.977797,0.828,0.925875,0.928,0.910609,0.914,0.764868,0.814,0.670443,0.729,0.207197,0.271
0.44,0.37,7,0.986533,0.877,0.936362,0.938,0.962394,0.963,0.791558,0.838,0.724540,0.770,0.251717,0.323
0.44,0.37,8,0.991832,0.992,0.944283,0.945,0.985394,0.985,0.815566,0.854,0.766935,0.809,0.294326,0.358
0.27,0.36,1,0.666495,0.761,0.653869,0.760,0.502119,0.637,0.595964,0.704,0.086353,0.163,0.009329,0.046
0.27,0.36,2,0.789882,0.844,0.755556,0.821,0.520529,0.644,0.686946,0.782,0.250269,0.329,0.033131,0.093
0.27,0.36,3,0.869674,0.910,0.817646,0.866,0.564496,0.682,0.763875,0.828,0.416709,0.476,0.066693,0.140
0.27,0.36,4,0.919892,0.952,0.857142,0.898,0.651909,0.753,0.825656,0.870,0.559449,0.610,0.106698,0.190
0.27,0.36,5,0.951022,0.969,0.883537,0.925,0.775418,0.842,0.873322,0.907,0.672971,0.705,0.150724,0.237
0.27,0.36,6,0.970150,0.981,0.902050,0.932,0.885938,0.919,0.909007,0.932,0.759709,0.772,0.196976,0.284
0.27,0.36,7,0.981842,0.987,0.915611,0.944,0.951248,0.968,0.935139,0.948,0.824473,0.828,0.244118,0.330
0.27,0.36,8,0.988967,0.993,0.925919,0.952,0.980933,0.988,0.953979,0.962,0.872173,0.878,0.291156,0.377
0.31,0.40,1,0.997575,1.000,0.997473,1.000,0.980435,1.000,0.981940,1.000,0.149358,0.240,0.019002,0.073
0.31,0.40,2,0.998529,1.000,0.998271,1.000,0.981289,1.000,0.984027,1.000,0.378197,0.447,0.066179,0.149
0.31,0.40,3,0.999108,1.000,0.998733,1.000,0.983276,1.000,0.986200,1.000,0.567250,0.606,0.129617,0.222
0.31,0.40,4,0.999459,1.000,0.999019,1.000,0.987021,1.000,0.988321,1.000,0.703319,0.718,0.200723,0.293
0.31,0.40,5,0.999672,1.000,0.999206,1.000,0.991933,1.000,0.990289,1.000,0.796903,0.808,0.273619,0.354
0.31,0.40,6,0.999801,1.000,0.999335,1.000,0.996023,1.000,0.992047,1.000,0.860402,0.864,0.344528,0.413
0.31,0.40,7,0.999879,1.000,0.999429,1.000,0.998328,1.000,0.993568,1.000,0.903466,0.908,0.411224,0.471
0.31,0.40,8,0.999927,1.000,0.999500,1.000,0.999351,1.000,0.994852,1.000,0.932816,0.931,0.472564,0.525
0.24,0.38,1,0.997575,1.000,0.997473,1.000,0.980435,1.000,0.980807,1.000,0.145129,0.236,0.018962,0.074
0.24,0.38,2,0.998529,1.000,0.998271,1.000,0.981289,1.000,0.981989,1.000,0.361434,0.434,0.065686,0.148
0.24,0.38,3,0.999108,1.000,0.998733,1.000,0.983276,1.000,0.983515,1.000,0.538092,0.581,0.127718,0.216
0.24,0.38,4,0.999459,1.000,0.999019,1.000,0.987021,1.000,0.985230,1.000,0.666387,0.684,0.196152,0.285
0.24,0.38,5,0.999672,1.000,0.999206,1.000,0.991933,1.000,0.986998,1.000,0.757075,0.769,0.265104,0.348
0.24,0.38,6,0.999801,1.000,0.999335,1.000,0.996023,1.000,0.988717,1.000,0.821267,0.827,0.331028,0.404
