x_pv_1,x_pv_2,epsilon,pm_theo,pm_empirical,sw_theo,sw_empirical,krr_theo,krr_empirical,exp_theo,exp_empirical,laplace_theo,laplace_empirical,gaussian_theo,gaussian_empirical
0.50,0.05,1,0.881263,0.869,0.876259,0.858,0.805215,0.769,0.827523,0.814,0.108978,0.181,0.015222,0.057
0.50,0.05,2,0.927948,0.919,0.915335,0.913,0.813689,0.787,0.850387,0.843,0.258183,0.311,0.051943,0.112
0.50,0.05,3,0.956286,0.953,0.937958,0.932,0.833393,0.812,0.870313,0.874,0.373220,0.410,0.098972,0.167
0.50,0.05,4,0.973481,0.965,0.951921,0.946,0.870595,0.855,0.887314,0.896,0.455987,0.475,0.148596,0.214
0.50,0.05,5,0.983914,0.983,0.961079,0.964,0.919474,0.912,0.901522,0.913,0.516793,0.527,0.196265,0.252
0.50,0.05,6,0.990243,0.987,0.967425,0.965,0.960269,0.955,0.913156,0.922,0.563330,0.570,0.239760,0.291
0.50,0.05,7,0.994082,0.993,0.972033,0.974,0.983286,0.981,0.922501,0.947,0.600397,0.596,0.278357,0.325
0.50,0.05,8,0.996410,0.996,0.975514,0.976,0.993508,0.991,0.929881,0.960,0.630937,0.640,0.312156,0.354
0.29,0.60,1,0.697101,0.694,0.684338,0.677,0.513182,0.500,0.586201,0.586,0.086639,0.136,0.009614,0.037
0.29,0.60,2,0.816195,0.806,0.784020,0.776,0.534356,0.529,0.660002,0.652,0.246020,0.288,0.033987,0.071
0.29,0.60,3,0.888485,0.885,0.841731,0.837,0.583589,0.573,0.724194,0.675,0.404132,0.416,0.067980,0.112
0.29,0.60,4,0.932351,0.929,0.877349,0.875,0.676552,0.677,0.778240,0.772,0.538260,0.538,0.107937,0.152
0.29,0.60,5,0.958964,0.958,0.900713,0.894,0.798709,0.802,0.822696,0.809,0.645092,0.638,0.151224,0.192
0.29,0.60,6,0.975109,0.970,0.916901,0.910,0.900678,0.903,0.858697,0.835,0.727799,0.707,0.195954,0.232
0.29,0.60,7,0.984902,0.983,0.928657,0.925,0.958215,0.957,0.887566,0.866,0.791038,0.773,0.240792,0.268
0.29,0.60,8,0.990843,0.994,0.937537,0.946,0.983771,0.982,0.910586,0.895,0.839185,0.829,0.284815,0.296
0.44,0.37,1,0.787970,0.780,0.779036,0.753,0.659198,0.647,0.699691,0.690,0.106515,0.164,0.012463,0.045
0.44,0.37,2,0.871336,0.863,0.848814,0.834,0.674023,0.653,0.743198,0.732,0.289313,0.324,0.043839,0.097
0.44,0.37,3,0.921939,0.915,0.889212,0.892,0.708491,0.694,0.783069,0.741,0.458656,0.462,0.087071,0.143
0.44,0.37,4,0.952645,0.952,0.914145,0.905,0.773574,0.761,0.818757,0.798,0.593928,0.598,0.137084,0.186
0.44,0.37,5,0.971275,0.973,0.930499,0.923,0.859092,0.839,0.850022,0.823,0.696232,0.687,0.190265,0.233
0.44,0.37,6,0.982576,0.977,0.941830,0.937,0.930473,0.934,0.876904,0.848,0.772022,0.756,0.244099,0.279
0.44,0.37,7,0.989432,0.993,0.950060,0.945,0.970751,0.966,0.899650,0.883,0.827873,0.808,0.296889,0.324
0.44,0.37,8,0.993590,0.989,0.956276,0.957,0.988640,0.986,0.918639,0.909,0.869121,0.859,0.347548,0.373
0.27,0.36,1,0.698580,0.792,0.687010,0.789,0.544868,0.656,0.636816,0.729,0.092787,0.169,0.010201,0.048
0.27,0.36,2,0.810949,0.883,0.779804,0.834,0.562083,0.674,0.723550,0.812,0.264877,0.342,0.036169,0.096
0.27,0.36,3,0.883043,0.916,0.836081,0.891,0.603033,0.716,0.795197,0.850,0.435579,0.503,0.072642,0.148
0.27,0.36,4,0.928219,0.951,0.871747,0.916,0.683851,0.768,0.851456,0.907,0.578921,0.617,0.115889,0.201
0.27,0.36,5,0.956152,0.973,0.895528,0.940,0.796925,0.864,0.893927,0.929,0.690813,0.733,0.163193,0.244
0.27,0.36,6,0.973291,0.979,0.912185,0.938,0.897214,0.932,0.925059,0.950,0.774922,0.794,0.212553,0.291
0.27,0.36,7,0.983758,0.988,0.924373,0.957,0.956149,0.972,0.947398,0.961,0.836844,0.852,0.262494,0.349
0.27,0.36,8,0.990133,0.994,0.933631,0.955,0.982864,0.990,0.963192,0.978,0.881905,0.892,0.311943,0.379
0.31,0.40,1,0.688350,0.696,0.675739,0.693,0.510074,0.522,0.584292,0.588,0.087314,0.137,0.009589,0.039
0.31,0.40,2,0.808054,0.811,0.775352,0.797,0.530277,0.535,0.659266,0.675,0.249775,0.282,0.033965,0.078
0.31,0.40,3,0.882505,0.895,0.834199,0.849,0.577648,0.588,0.724815,0.722,0.412068,0.430,0.068126,0.121
