epsilon,pm_theo_monte,pm_empirical,pm_theo,sw_theo_monte,sw_empirical,sw_theo
1.0,9.758341491105966e-05,0.247,2.53237293162379e-14,0.16691863849759103,0.23633333333333334,7.007247209389255e-14
1.5,3.496483762864955e-06,0.2886666666666667,3.4844176381791785e-10,0.16306253516077995,0.265,1.9752090982660346e-09
2.0,4.565122737165694e-10,0.3486666666666667,1.667401324259163e-06,0.16193520164489747,0.3416666666666667,1.0387835434731167e-07
2.5,1.0947228182549978e-13,0.444,4.44929069281798e-05,0.14578361725211145,0.3983333333333333,1.7178700738676083e-06
3.0,9.430282044297933e-18,0.5473333333333333,0.0004939767111193265,0.15060081017017365,0.4543333333333333,1.3490203107286408e-05
3.5,7.127214875522766e-22,0.6503333333333333,0.002967215728636399,0.14411308017373087,0.5033333333333333,6.413374909350488e-05
4.0,3.6043205031435645e-29,0.7483333333333333,0.011452002576402385,0.1506957204580307,0.5416666666666666,0.00021482134989843384
4.5,9.803681882743852e-33,0.826,0.03193939466813679,0.1469949838221073,0.6066666666666667,0.0005596690520790508
5.0,3.3690159621101074e-36,0.8616666666666667,0.06993037260716839,0.14888636659383772,0.633,0.0012121968355321001
5.5,4.0986158393497276e-44,0.913,0.1276061694186381,0.14445554542541503,0.685,0.0022856894594270186
6.0,0.0,0.939,0.20277997289882824,0.13686708864569663,0.7113333333333334,0.003876425480837
6.5,0.0,0.953,0.2899561472804211,0.14783380551338196,0.7396666666666667,0.006054074982981105
7.0,0.0,0.9633333333333334,0.38236584981529415,0.1435001518845558,0.776,0.008859106133866155
7.5,0.0,0.976,0.4737685229584365,0.14733760035037993,0.796,0.012304999060790458
8.0,0.0,0.9783333333333334,0.6250900022547212,0.1545458338677883,0.7933333333333333,0.016382904856811292
