epsilon,pm_theo_monte,pm_empirical,pm_theo,sw_theo_monte,sw_empirical,sw_theo
1.0,0.08715239419937135,0.18633333333333332,1.7205625357664964e-08,0.09037186825275421,0.181,6.744113319187552e-09
1.5,0.0944850455403328,0.2786666666666667,1.7711239088486292e-06,0.1089430644273758,0.2633333333333333,3.88745189127638e-07
2.0,0.12881840344667436,0.38333333333333336,4.7607571483825696e-05,0.14322848898172377,0.36633333333333334,6.4378903716519245e-06
2.5,0.17012951889038086,0.548,0.0005259909257951321,0.2040176152229309,0.474,4.864917902316697e-05
3.0,0.222762220621109,0.6836666666666666,0.0031321727778710856,0.2834987071990967,0.5506666666666666,0.00021876952095186325
3.5,0.29429942321777347,0.798,0.011978080039782497,0.4353669665336609,0.6596666666666666,0.0006888648378049466
4.0,0.3714969846725464,0.8826666666666667,0.033126957003718566,0.6469577108383179,0.7173333333333334,0.001685981440588989
4.5,0.5474648043632507,0.9303333333333333,0.07200901075000046,1.0137050917625428,0.783,0.0034376843661012018
5.0,0.7055594530105591,0.9506666666666667,0.1306147533087051,1.434578200531006,0.8036666666666666,0.006122871671050025
5.5,0.9364005043029785,0.9723333333333334,0.20655258162050252,2.2916373767852787,0.8323333333333334,0.009847261589666105
6.0,1.1841658957481385,0.9863333333333333,0.2971567282514896,3.8983977222442627,0.8513333333333334,0.014642743716704747
6.5,1.6158715484619142,0.99,0.4131218297111321,6.0916103080749515,0.8796666666666667,0.020480757264654214
7.0,2.180406557273865,0.993,0.5116284830421752,8.576887062835693,0.9026666666666666,0.027290271045228437
7.5,2.7774252279281617,0.9966666666666667,0.6168383658588877,13.78016196899414,0.9066666666666666,0.03497464073956353
8.0,3.4904748313903813,0.999,0.7104789358550132,20.095594367980954,0.92,0.043424967549497734
